wz,jobs,lat,lon
E33002466,2906,53.35915408,-2.28195516
E33002467,6444,53.36191146,-2.27083726
E33002468,375,53.36529238,-2.27415087
E33002469,1372,53.36141326,-2.27329955
E33002470,453,53.36406079,-2.29080505
E33002471,310,53.36242685,-2.27319516
E33002472,1001,53.36706871,-2.27994848
E33002473,410,53.36199651,-2.29163617
E33002474,240,53.34911171,-2.27774195
E33002475,574,53.36203004,-2.28560425
E33002476,451,53.36025709,-2.28778134
E33002477,810,53.36511059,-2.27334048
E33002478,244,53.54439644,-2.13997333
E33002479,381,53.54182732,-2.14066030
E33002480,490,53.54164278,-2.13784179
E33002481,235,53.54055027,-2.17225490
E33002482,250,53.53624385,-2.15635492
E33002483,406,53.52893241,-2.17321355
E33002484,700,53.53449376,-2.17385986
E33002485,233,53.53441800,-2.16691943
E33002486,955,53.53425313,-2.17859332
E33002487,216,53.53281297,-2.15423541
E33002488,735,53.53024898,-2.15850966
E33002489,429,53.54547494,-2.14203936
E33002490,468,53.54640415,-2.13975293
E33002491,1176,53.53219028,-2.16579957
E33002492,122,53.53210121,-2.16901751
E33002493,515,53.52014334,-2.15251686
E33002494,751,53.52085602,-2.15007294
E33002495,338,53.54216433,-2.11453571
E33002496,372,53.54304425,-2.11395927
E33002497,869,53.54235803,-2.11721814
E33002498,350,53.54269505,-2.11566014
E33002499,517,53.54376593,-2.11685743
E33002500,1766,53.54265926,-2.11995710
E33002501,396,53.54149923,-2.13210185
E33002502,3111,53.55328100,-2.12182761
E33002503,559,53.54816729,-2.13014327
E33002504,251,53.54909695,-2.12674469
E33002505,220,53.54726554,-2.13103197
E33002506,279,53.51312361,-2.15514400
E33002507,387,53.51121699,-2.15661147
E33002508,327,53.50475989,-2.17497706
E33002509,453,53.50817476,-2.15995247
E33002510,697,53.51973012,-2.14519195
E33002511,291,53.51442431,-2.13801839
E33002512,233,53.53967011,-2.07175166
E33002513,315,53.56242583,-2.12033847
E33002514,922,53.56042682,-2.10533838
E33002515,608,53.55936426,-2.10174759
E33002516,434,53.56467055,-2.02021002
E33002517,380,53.54700003,-2.09066571
E33002518,791,53.54393196,-2.10306809
E33002519,440,53.54540469,-2.10075469
E33002520,279,53.54289458,-2.10453042
E33002521,342,53.54281904,-2.11051960
E33002522,231,53.54225891,-2.10702455
E33002523,242,53.54308108,-2.10823904
E33002524,301,53.54133347,-2.10709508
E33002525,211,53.54246647,-2.11208940
E33002526,239,53.53774002,-2.09506879
E33002527,465,53.54009855,-2.09446848
E33002528,500,53.54332789,-2.09312547
E33002529,151,53.54330308,-2.09573691
E33002530,293,53.54432892,-2.09426852
E33002531,212,53.54093838,-2.09089004
E33002532,830,53.54149675,-2.09986167
E33002533,462,53.52164887,-2.11170710
E33002534,567,53.54059786,-2.11635484
E33002535,251,53.53840421,-2.11450409
E33002536,588,53.53966530,-2.11182857
E33002537,693,53.54117918,-2.11515273
E33002538,656,53.53994688,-2.11267617
E33002539,165,53.54154017,-2.11587008
E33002540,532,53.53940946,-2.11388719
E33002541,247,53.54008065,-2.11425929
E33002542,385,53.54166144,-2.10956664
E33002543,477,53.54175711,-2.11369607
E33002544,666,53.57543076,-2.09285301
E33002545,996,53.57657126,-2.08717871
E33002546,948,53.60269395,-2.16361600
E33002547,423,53.59399290,-2.17775955
E33002548,948,53.59750666,-2.17163371
E33002549,295,53.61241077,-2.15572730
E33002550,686,53.61759486,-2.15582455
E33002551,347,53.61164875,-2.15423059
E33002552,211,53.61575456,-2.15072281
E33002553,235,53.61426585,-2.14904891
E33002554,226,53.61583050,-2.15439060
E33002555,301,53.61450639,-2.15218871
E33002556,289,53.61336532,-2.15083645
E33002557,229,53.61389206,-2.15431341
E33002558,270,53.61676343,-2.15732854
E33002559,254,53.61638989,-2.15681376
E33002560,253,53.61196341,-2.15950650
E33002561,243,53.61957953,-2.15965439
E33002562,238,53.62187547,-2.15611915
E33002563,462,53.61851751,-2.15563880
E33002564,428,53.61810547,-2.15533943
E33002565,227,53.61961845,-2.15451422
E33002566,301,53.61803851,-2.15758027
E33002567,503,53.61724257,-2.15878295
E33002568,567,53.61765118,-2.15897212
E33002569,818,53.61569374,-2.16589721
E33002570,429,53.61173805,-2.16308188
E33002571,524,53.61572052,-2.15892297
E33002572,253,53.61539908,-2.15547985
E33002573,730,53.61659475,-2.15931821
E33002574,374,53.61386325,-2.16523322
E33002575,366,53.61597303,-2.16132624
E33002576,419,53.59512991,-2.22384703
E33002577,398,53.59390042,-2.22243140
E33002578,436,53.58676806,-2.20334950
E33002579,260,53.58943089,-2.20744781
E33002580,467,53.58779835,-2.20872500
E33002581,767,53.58936195,-2.20434990
E33002582,1092,53.58353322,-2.23154991
E33002583,271,53.58649488,-2.22246828
E33002584,767,53.57712140,-2.22158655
E33002585,407,53.58067206,-2.24736484
E33002586,1476,53.58134543,-2.23892109
E33002587,106,53.59039700,-2.26573247
E33002588,307,53.59131894,-2.26160596
E33002589,1126,53.58925684,-2.27493319
E33002590,351,53.57059778,-2.16951092
E33002591,254,53.57042491,-2.17191066
E33002592,1332,53.56813067,-2.16967152
E33002593,259,53.54811975,-2.19627487
E33002594,404,53.54840403,-2.19562855
E33002595,268,53.54974100,-2.19845815
E33002596,208,53.54979875,-2.19493278
E33002597,306,53.55072497,-2.19238564
E33002598,841,53.54827907,-2.20103573
E33002599,317,53.55947349,-2.23144772
E33002600,224,53.60883060,-2.10878012
E33002601,427,53.60890567,-2.11103369
E33002602,416,53.60891339,-2.14520169
E33002603,392,53.60888392,-2.13979569
E33002604,704,53.61124704,-2.14680736
E33002605,339,53.62295108,-2.15151780
E33002606,307,53.62386941,-2.15491881
E33002607,406,53.61724213,-2.18549562
E33002608,548,53.48250383,-2.33509263
E33002609,312,53.48123007,-2.28043174
E33002610,1976,53.48357371,-2.27066503
E33002611,213,53.48069692,-2.27611030
E33002612,298,53.48060743,-2.27088289
E33002613,383,53.49524730,-2.25586544
E33002614,198,53.49055381,-2.27709639
E33002615,587,53.42840003,-2.43011317
E33002616,219,53.42567707,-2.43778261
E33002617,723,53.43567814,-2.42201290
E33002618,534,53.43232888,-2.42416047
E33002619,620,53.43781713,-2.42325730
E33002620,293,53.43842042,-2.42736690
E33002621,442,53.44003350,-2.41807192
E33002622,720,53.43081600,-2.43113318
E33002623,396,53.48394498,-2.33662239
E33002624,259,53.48432054,-2.33914108
E33002625,238,53.53004625,-2.42314334
E33002626,435,53.47697717,-2.26805279
E33002627,299,53.51343895,-2.32461279
E33002628,345,53.51254276,-2.33838291
E33002629,426,53.51338240,-2.33345869
E33002630,208,53.51371922,-2.32762748
E33002631,402,53.51369465,-2.33507899
E33002632,207,53.50452752,-2.29350912
E33002633,565,53.50655258,-2.29891511
E33002634,614,53.50873926,-2.30055504
E33002635,1332,53.49063406,-2.28838503
E33002636,465,53.48894554,-2.28672136
E33002637,339,53.48880092,-2.28780676
E33002638,269,53.49522721,-2.27859374
E33002639,288,53.49326911,-2.28465989
E33002640,241,53.49490767,-2.28545925
E33002641,775,53.51362089,-2.36066721
E33002642,464,53.51335774,-2.35528776
E33002643,1001,53.51576943,-2.35979170
E33002644,443,53.51398929,-2.34302316
E33002645,502,53.51019475,-2.33876148
E33002646,1694,53.51108308,-2.33970478
E33002647,247,53.52424385,-2.40003710
E33002648,327,53.52669747,-2.38672068
E33002649,678,53.47938342,-2.30680819
E33002650,914,53.48163198,-2.32709820
E33002651,604,53.43398705,-2.12107867
E33002652,709,53.43151697,-2.12502051
E33002653,246,53.42529588,-2.11994884
E33002654,351,53.43077373,-2.11822091
E33002655,573,53.43109397,-2.12335890
E33002656,609,53.42933551,-2.12049129
E33002657,225,53.41301087,-2.14455666
E33002658,289,53.41018593,-2.15510869
E33002659,552,53.41221588,-2.15913602
E33002660,519,53.40861431,-2.16129596
E33002661,241,53.40987057,-2.16147223
E33002662,373,53.41040787,-2.16036004
E33002663,336,53.40911218,-2.15665254
E33002664,370,53.40967368,-2.15900814
E33002665,437,53.40998000,-2.15763813
E33002666,826,53.41258869,-2.15650353
E33002667,405,53.41108939,-2.16098014
E33002668,689,53.40714987,-2.15540991
E33002669,599,53.41365721,-2.15129718
E33002670,236,53.41074432,-2.15819834
E33002671,198,53.41162315,-2.15780678
E33002672,337,53.40855343,-2.15920247
E33002673,265,53.41127335,-2.15947664
E33002674,204,53.40733204,-2.15456368
E33002675,3235,53.40600769,-2.15848443
E33002676,348,53.40980291,-2.15181467
E33002677,451,53.40461703,-2.15791841
E33002678,488,53.40371307,-2.16063404
E33002679,673,53.39544584,-2.18467161
E33002680,205,53.39476301,-2.21624362
E33002681,354,53.39440456,-2.21321231
E33002682,1213,53.39729549,-2.21581864
E33002683,309,53.39314709,-2.21775811
E33002684,378,53.39197171,-2.23633249
E33002685,271,53.39315572,-2.21692084
E33002686,1364,53.39710276,-2.20335086
E33002687,730,53.39481065,-2.18585726
E33002688,545,53.37697340,-2.18916632
E33002689,1437,53.37558383,-2.21497973
E33002690,443,53.37723671,-2.19010780
E33002691,772,53.39195413,-2.18630590
E33002692,277,53.39349077,-2.18608927
E33002693,229,53.35773131,-2.20372080
E33002694,784,53.35542577,-2.20264633
E33002695,300,53.37502105,-2.18685348
E33002696,392,53.37445468,-2.18841278
E33002697,245,53.37449286,-2.18625775
E33002698,4094,53.38382156,-2.13201710
E33002699,1385,53.37828275,-2.14113456
E33002700,376,53.40694077,-2.16090380
E33002701,588,53.40544939,-2.15913158
E33002702,368,53.40379033,-2.16394441
E33002703,388,53.40757413,-2.16808851
E33002704,707,53.40804922,-2.16239732
E33002705,310,53.40817149,-2.17234095
E33002706,975,53.40785018,-2.16560695
E33002707,493,53.38356692,-2.12588711
E33002708,220,53.38226842,-2.12424711
E33002709,263,53.38003708,-2.12106639
E33002710,217,53.37867328,-2.13235108
E33002711,769,53.37878864,-2.12962550
E33002712,494,53.37497142,-2.22148495
E33002713,538,53.38040140,-2.22062563
E33002714,528,53.37748875,-2.22220592
E33002715,570,53.38075031,-2.22375825
E33002716,258,53.37843330,-2.21933943
E33002717,442,53.37608002,-2.22583109
E33002718,361,53.40794646,-2.20603276
E33002719,727,53.40681655,-2.20266332
E33002720,718,53.41109233,-2.17173009
E33002721,268,53.40945252,-2.17954517
E33002722,464,53.41195523,-2.17558771
E33002723,218,53.41075444,-2.17422074
E33002724,1321,53.40807806,-2.17545439
E33002725,557,53.43414141,-2.18849462
E33002726,1067,53.43491412,-2.18471187
E33002727,329,53.42348331,-2.18413749
E33002728,791,53.40831960,-2.15128924
E33002729,546,53.40037037,-2.15477668
E33002730,437,53.39979024,-2.15114327
E33002731,293,53.39813695,-2.05720403
E33002732,435,53.39577901,-2.06274191
E33002733,278,53.41932984,-2.17043355
E33002734,345,53.41178696,-2.16549528
E33002735,934,53.40955336,-2.16410966
E33002736,539,53.41259681,-2.16599724
E33002737,252,53.41195643,-2.16110423
E33002738,266,53.42547404,-2.16192185
E33002739,424,53.42755409,-2.16420457
E33002740,250,53.42614655,-2.16449601
E33002741,221,53.35691799,-2.16595804
E33002742,235,53.35640784,-2.16549987
E33002743,288,53.35785245,-2.16599789
E33002744,223,53.35942060,-2.16719670
E33002745,377,53.50700426,-2.07634727
E33002746,755,53.48797132,-2.08077418
E33002747,805,53.48630237,-2.08775057
E33002748,712,53.49072493,-2.10127384
E33002749,621,53.48503569,-2.09510501
E33002750,1751,53.48082659,-2.12176996
E33002751,227,53.47692438,-2.10970102
E33002752,338,53.47561385,-2.11132063
E33002753,202,53.48784825,-2.09507898
E33002754,424,53.48938024,-2.09656778
E33002755,306,53.48852883,-2.09544331
E33002756,279,53.48692862,-2.09355293
E33002757,388,53.48855757,-2.09428740
E33002758,162,53.48790614,-2.08975442
E33002759,218,53.48878398,-2.09345358
E33002760,304,53.48872464,-2.09072119
E33002761,354,53.48939179,-2.08915956
E33002762,295,53.48785304,-2.09260013
E33002763,407,53.48922726,-2.09245243
E33002764,632,53.49006450,-2.10209977
E33002765,215,53.48726223,-2.09647200
E33002766,803,53.48577094,-2.09998494
E33002767,306,53.48859357,-2.09870827
E33002768,809,53.47323709,-2.11272845
E33002769,771,53.45926143,-2.11836043
E33002770,419,53.45638461,-2.11571956
E33002771,172,53.45594098,-2.11427153
E33002772,212,53.45446349,-2.11342874
E33002773,421,53.45509043,-2.11238068
E33002774,1043,53.45106554,-2.13438657
E33002775,319,53.45507012,-2.12637829
E33002776,214,53.45258601,-2.12867842
E33002777,303,53.45403014,-2.12655377
E33002778,321,53.45512552,-2.12893498
E33002779,496,53.45478955,-2.13262152
E33002780,214,53.47987855,-2.14603349
E33002781,484,53.47439275,-2.09686896
E33002782,276,53.47199563,-2.10106842
E33002783,211,53.46956361,-2.09684329
E33002784,428,53.47003873,-2.10273016
E33002785,836,53.46674500,-2.09431589
E33002786,614,53.48434566,-2.09155369
E33002787,622,53.48300644,-2.07225063
E33002788,218,53.45200689,-2.07823016
E33002789,268,53.45196684,-2.07985827
E33002790,280,53.45247343,-2.07878984
E33002791,376,53.45110381,-2.07795728
E33002792,428,53.46155862,-2.08885993
E33002793,254,53.46216927,-2.09132406
E33002794,219,53.45424413,-2.09144657
E33002795,784,53.45181838,-2.08199542
E33002796,242,53.46311006,-1.99657237
E33002797,251,53.39595791,-2.35188745
E33002798,202,53.38766971,-2.34838221
E33002799,367,53.38806038,-2.35019024
E33002800,315,53.38656339,-2.35300646
E33002801,224,53.38638115,-2.34962791
E33002802,259,53.38468701,-2.35233584
E33002803,255,53.38547999,-2.35037695
E33002804,264,53.38668573,-2.35214415
E33002805,275,53.38643829,-2.35076797
E33002806,272,53.38843731,-2.35124450
E33002807,420,53.38785903,-2.34927449
E33002808,839,53.38904121,-2.34722191
E33002809,272,53.38829411,-2.35722879
E33002810,405,53.38949452,-2.34926217
E33002811,201,53.38307104,-2.35198610
E33002812,426,53.38374428,-2.35259516
E33002813,333,53.38397142,-2.35054579
E33002814,688,53.39615187,-2.37391437
E33002815,820,53.39032244,-2.34752522
E33002816,216,53.37778266,-2.34714368
E33002817,838,53.37764761,-2.34636898
E33002818,270,53.37856704,-2.34904356
E33002819,438,53.37700803,-2.34600322
E33002820,203,53.39881749,-2.36081651
E33002821,398,53.39794227,-2.36762913
E33002822,514,53.39737053,-2.35985554
E33002823,1000,53.39771037,-2.36422903
E33002824,247,53.39861973,-2.35723369
E33002825,250,53.40002572,-2.36779770
E33002826,272,53.39646483,-2.36383451
E33002827,665,53.39984534,-2.35576651
E33002828,837,53.40576660,-2.34887072
E33002829,206,53.43163424,-2.39349423
E33002830,385,53.42681612,-2.38111143
E33002831,615,53.43061016,-2.40015495
E33002832,341,53.43024779,-2.39744807
E33002833,728,53.46615454,-2.33608783
E33002834,430,53.46363358,-2.33824132
E33002835,390,53.46737648,-2.33029432
E33002836,9547,53.46621235,-2.34900205
E33002837,906,53.46858936,-2.35560302
E33002838,1001,53.47259183,-2.32247994
E33002839,886,53.47148228,-2.31336912
E33002840,655,53.46792783,-2.36144491
E33002841,257,53.46807346,-2.31925157
E33002842,262,53.47278951,-2.31202358
E33002843,524,53.47246186,-2.32799373
E33002844,415,53.47534916,-2.33483864
E33002845,516,53.47264228,-2.34860634
E33002846,1667,53.47606557,-2.31775998
E33002847,308,53.46808034,-2.31279992
E33002848,383,53.47457672,-2.33017947
E33002849,464,53.47238985,-2.34313119
E33002850,697,53.46678678,-2.34231293
E33002851,619,53.47341663,-2.33770500
E33002852,458,53.47688489,-2.32873796
E33002853,1851,53.47010674,-2.33277711
E33002854,2086,53.45408966,-2.37067913
E33002855,298,53.44971732,-2.37109439
E33002856,362,53.36931591,-2.31455475
E33002857,1825,53.45725799,-2.28736645
E33002858,467,53.45968466,-2.27632604
E33002859,992,53.45948506,-2.28274094
E33002860,259,53.45999793,-2.27704845
E33002861,287,53.43241778,-2.31963618
E33002862,230,53.42524647,-2.32694495
E33002863,416,53.42587460,-2.32862671
E33002864,267,53.42407392,-2.32788991
E33002865,729,53.46169338,-2.32843993
E33002866,335,53.46693739,-2.32334529
E33002867,378,53.46593177,-2.32782485
E33002868,200,53.46453817,-2.30732325
E33002869,438,53.46599569,-2.29302767
E33002870,356,53.46472866,-2.31069014
E33002871,346,53.46638746,-2.29095599
E33002872,603,53.46762972,-2.30408488
E33002873,314,53.46466025,-2.30969927
E33002874,552,53.47024938,-2.30884951
E33002875,332,53.46882860,-2.29650318
E33002876,570,53.46015024,-2.32084743
E33002877,466,53.46188728,-2.32601285
E33002878,477,53.46011528,-2.30825332
E33002879,555,53.46112640,-2.31305998
E33002880,290,53.46594599,-2.31663789
E33002881,880,53.46239013,-2.31783157
E33002882,293,53.46606051,-2.31024092
E33002883,1213,53.46467802,-2.32417795
E33002884,740,53.45722212,-2.31701842
E33002885,271,53.46567277,-2.30103380
E33002886,267,53.46618299,-2.30883030
E33002887,373,53.46593732,-2.30557148
E33002888,245,53.42375275,-2.32334071
E33002889,255,53.42456560,-2.32235365
E33002890,209,53.42021007,-2.33088891
E33002891,589,53.42995385,-2.31222300
E33002892,559,53.43190221,-2.31741037
E33002893,467,53.42508807,-2.32349029
E33002894,213,53.42541231,-2.32067684
E33002895,733,53.42514438,-2.31999925
E33002896,294,53.42601647,-2.32341547
E33002897,519,53.42354673,-2.29397369
E33002898,291,53.44652541,-2.30696003
E33002899,1130,53.44524530,-2.31078931
E33002900,386,53.46836055,-2.26855544
E33002901,515,53.46646208,-2.26701341
E33002902,1718,53.46259377,-2.29103063
E33002903,317,53.46151442,-2.28633400
E33002904,354,53.46492386,-2.27444236
E33002905,764,53.46431840,-2.27551300
E33002906,3976,53.46245016,-2.27989697
E33002907,838,53.45925407,-2.28550152
E33002908,1762,53.45903310,-2.28748339
E33002909,1337,53.46021907,-2.28360646
E33002910,657,53.44765129,-2.35232009
E33002911,596,53.44982601,-2.35412998
E33002912,289,53.45049375,-2.36091473
E33002913,654,53.48670318,-2.63785040
E33002914,370,53.48222422,-2.64008925
E33002915,859,53.59399132,-2.64978118
E33002916,937,53.50374045,-2.43692738
E33002917,238,53.48676284,-2.45110262
E33002918,1369,53.49944760,-2.63832187
E33002919,1101,53.49918051,-2.63386165
E33002920,396,53.53673740,-2.59035391
E33002921,460,53.53621548,-2.57743450
E33002922,463,53.53529125,-2.57958926
E33002923,1055,53.49955302,-2.52779648
E33002924,542,53.49137988,-2.50428793
E33002925,316,53.48246625,-2.50324845
E33002926,1155,53.48423346,-2.50526912
E33002927,735,53.53716848,-2.62894904
E33002928,1283,53.54189120,-2.60253755
E33002929,231,53.49711416,-2.51750123
E33002930,412,53.49776310,-2.51393426
E33002931,348,53.49653251,-2.51715519
E33002932,391,53.49594702,-2.51444346
E33002933,688,53.49557235,-2.51609691
E33002934,474,53.49448697,-2.51970892
E33002935,415,53.49449851,-2.51084189
E33002936,251,53.49569515,-2.51007298
E33002937,263,53.49422167,-2.51167353
E33002938,1096,53.50491096,-2.51374721
E33002939,1063,53.46966305,-2.59079265
E33002940,572,53.54075573,-2.64404973
E33002941,1197,53.54326484,-2.65087278
E33002942,236,53.54310585,-2.64714930
E33002943,977,53.54517644,-2.65407629
E33002944,378,53.54581895,-2.65604707
E33002945,416,53.55575667,-2.66684900
E33002946,223,53.55222365,-2.66702782
E33002947,538,53.55304147,-2.67430411
E33002948,208,53.55051272,-2.63095202
E33002949,484,53.54867336,-2.62966616
E33002950,481,53.54955830,-2.63006470
E33002951,224,53.55024640,-2.62806354
E33002952,680,53.54936258,-2.62733693
E33002953,2216,53.54513185,-2.62995717
E33002954,199,53.54716606,-2.63198243
E33002955,522,53.54895498,-2.63378153
E33002956,375,53.54415769,-2.62994418
E33002957,356,53.54350630,-2.62988339
E33002958,229,53.54602365,-2.63559313
E33002959,308,53.54774876,-2.63359709
E33002960,1294,53.54642443,-2.62884049
E33002961,463,53.54525687,-2.63112612
