code,name,easting,northing,latitude,longitude
E01006126,Trafford 007B,373768,395114,53.45212,-2.39647
E01006127,Trafford 007C,373347,394457,53.4462,-2.40276
E01006124,Trafford 005C,374385,395394,53.45467,-2.3872
E01006125,Trafford 007A,373981,395619,53.45668,-2.3933
E01006122,Trafford 005A,375006,395989,53.46005,-2.3779
E01006123,Trafford 005B,375604,395619,53.45676,-2.36886
E01006120,Trafford 010A,376205,395289,53.45382,-2.35979
E01006121,Trafford 002E,376809,396144,53.46153,-2.35076
E01006128,Trafford 005D,375029,394925,53.45048,-2.37746
E01006129,Trafford 010B,375525,394297,53.44487,-2.36996
E01006097,Trafford 015A,378697,390947,53.41489,-2.32197
E01006096,Trafford 020C,377225,389949,53.40586,-2.34405
E01006095,Trafford 019C,376273,390378,53.40968,-2.3584
E01006094,Trafford 020B,376993,390424,53.41012,-2.34757
E01006093,Trafford 023A,377699,389194,53.3991,-2.33686
E01006092,Trafford 019B,376050,389487,53.40166,-2.36168
E01006091,Trafford 019A,375976,389845,53.40487,-2.36282
E01006090,Trafford 020A,377350,389507,53.4019,-2.34213
E01006099,Trafford 014B,379642,391162,53.41687,-2.30777
E01006098,Trafford 014A,379287,390916,53.41464,-2.3131
E01006154,Trafford 012D,378379,392823,53.43175,-2.32688
E01032914,Salford 028H,380900,397997,53.47835,-2.28926
E01006116,Trafford 002A,376118,395883,53.45915,-2.36115
E01005618,Salford 030C,370776,392250,53.42623,-2.44127
E01006142,Trafford 011A,380392,394736,53.44901,-2.29671
E01005645,Salford 029G,372175,394484,53.44638,-2.4204
E01006184,Trafford 008D,378253,394385,53.44578,-2.32888
E01006206,Trafford 022B,379551,388778,53.39543,-2.30898
E01006207,Trafford 022C,379760,388421,53.39223,-2.30582
E01006204,Trafford 022A,379140,388988,53.3973,-2.31517
E01006205,Trafford 023D,378659,388595,53.39375,-2.32239
E01006202,Trafford 009E,376575,394386,53.44572,-2.35415
E01006203,Trafford 010E,375926,394277,53.4447,-2.36391
E01006200,Trafford 009C,377038,394413,53.44598,-2.34719
E01006201,Trafford 009D,376249,394681,53.44835,-2.35908
E01006208,Trafford 022D,379591,388221,53.39043,-2.30834
E01006209,Trafford 023E,378592,388115,53.38944,-2.32335
E01032686,Salford 028F,381376,396908,53.46857,-2.28202
E01032685,Salford 028E,380652,397327,53.47231,-2.29294
E01005179,Manchester 030B,383291,394474,53.44676,-2.25304
E01033687,Manchester 003G,387440,403425,53.52733,-2.19094
E01033685,Manchester 003F,387978,403200,53.52532,-2.18281
E01033684,Manchester 013F,385580,398128,53.47968,-2.21874
E01033683,Manchester 060D,383479,397461,53.47362,-2.25037
